set block           /b1*b146/;
set contact         /c1*c345/;

table data(block,datain)
      typ e1  e2  e3  e4  e5  e6
b1    3       1   9   16
b2    1   9   2   10  18  17
b3    1   10  3   11  20  19
b4    1   11  4   12  22  21
b5    1   12  5   13  24  23
b6    1   13  6   14  26  25
b7    1   14  7   15  28  27
b8    3   15  8       29
b9    2       16  17  30  37  36
b10   2   30  18  19  31  39  38
b11   2   31  20  21  32  41  40
b12   2   32  22  23  33  43  42
b13   2   33  24  25  34  45  44
b14   2   34  26  27  35  47  46
b15   2   35  28  29      49  48
b16   3       36  50  57
b17   2   50  37  38  51  59  58
b18   2   51  39  40  52  61  60
b19   2   52  41  42  53  63  62
b20   2   53  43  44  54  65  64
b21   2   54  45  46  55  67  66
b22   2   55  47  48  56  69  68
b23   3   56  49      70
b24   2       57  58  71  78  77
b25   2   71  59  60  72      79
b26   2   72  61  62  73  80
b27   2   73  63  64  74  82  81
b28   2   74  65  66  75      83
b29   2   75  67  68  76  84
b30   2   76  69  70      86  85
b31   3       77  87  90
b32   2   87  78  79      92  91
b33   2       80  81  88  94  93
b34   2   88  82  83      96  95
b35   2       84  85  89  98  97
b36   3   89  86      99
b37   2       90  91  100 105 104
b38   3   100 92      106
b39   3       93  101 107
b40   2   101 94  95  102 109 108
b41   3   102 96      110
b42   3       97  103 111
b43   2   103 98  99      113 112
b44   3       104 114 117
b45   2   114 105 106     119 118
b46   2       107 108 115 121 120
b47   2   115 109 110     123 122
b48   2       111 112 116 125 124
b49   3   116 113     126
b50   2       117 118 127 132 131
b51   3   127 119     133
b52   3       120 128 134
b53   2   128 121 122 129 136 135
b54   3   129 123     137
b55   3       124 130 138
b56   2   130 125 126     140 139
b57   3       131 141 144
b58   2   141 132 133     146 145
b59   2       134 135 142 148 147
b60   2   142 136 137     150 149
b61   2       138 139 143 152 151
b62   3   143 140     153
b63   2       144 145 154 161 160
b64   2   154 146     155 163 162
b65   2   155     147 156 165 164
b66   2   156 148 149 157 167 166
b67   2   157 150     158 169 168
b68   2   158     151 159 171 170
b69   2   159 152 153     173 172
b70   3       160 174 181
b71   2   174 161 162 175 183 182
b72   2   175 163 164 176 185 184
b73   2   176 165 166 177 187 186
b74   2   177 167 168 178 189 188
b75   2   178 169 170 179 191 190
b76   2   179 171 172 180 193 192
b77   3   180 173     194
b78   2       181 182 195 202 201
b79   2   195 183 184 196     203
b80   2   196 185 186 197 204
b81   2   197 187 188 198 206 205
b82   2   198 189 190 199     207
b83   2   199 191 192 200 208
b84   2   200 193 194     210 209
b85   3       201 211 214
b86   2   211 202 203     216 215
b87   2       204 205 212 218 217
b88   2   212 206 207     220 219
b89   2       208 209 213 222 221
b90   3   213 210     223
b91   2       214 215 224 229 228
b92   3   224 216     230
b93   3       217 225 231
b94   2   225 218 219 226 233 232
b95   3   226 220     234
b96   3       221 227 235
b97   2   227 222 223     237 236
b98   3       228 238 241
b99   2   238 229 230     243 242
b100  2       231 232 239 245 244
b101  2   239 233 234     247 246
b102  2       235 236 240 249 248
b103  3   240 237     250
b104  2       241 242 251 256 255
b105  3   251 243     257
b106  3       244 252 258
b107  2   252 245 246 253 260 259
b108  3   253 247     261
b109  3       248 254 262
b110  2   254 249 250     264 263
b111  3       255 265 268
b112  2   265 256 257     270 269
b113  2       258 259 266 272 271
b114  2   266 260 261     274 273
b115  2       262 263 267 276 275
b116  3   267 264     277
b117  2       268 269 278 285 284
b118  2   278 270     279 287 286
b119  2   279     271 280 289 288
b120  2   280 272 273 281 291 290
b121  2   281 274     282 293 292
b122  2   282     275 283 295 294
b123  2   283 276 277     297 296
b124  3       284 298 305
b125  2   298 285 286 299 307 306
b126  2   299 287 288 300 309 308
b127  2   300 289 290 301 311 310
b128  2   301 291 292 302 313 312
b129  2   302 293 294 303 315 314
b130  2   303 295 296 304 317 316
b131  3   304 297     318
b132  2       305 306 319 326 325
b133  2   319 307 308 320 328 327
b134  2   320 309 310 321 330 329
b135  2   321 311 312 322 332 331
b136  2   322 313 314 323 334 333
b137  2   323 315 316 324 336 335
b138  2   324 317 318     338 337
b139  3       325 339
b140  2   339 326 327 340
b141  2   340 328 329 341
b142  2   341 330 331 342
b143  2   342 332 333 343
b144  2   343 334 335 344
b145  2   344 336 337 345
b146  3   345 338
;
